series_id,quarter,value,n_months,yoy,qoq
ASE,2021Q1,119469784.0,3,,
ASE,2021Q2,126926347.0,3,,0.06241379828727234
ASE,2021Q3,150664816.0,3,,0.18702554324674603
ASE,2021Q4,172936186.0,3,,0.14782064314205923
ASE,2022Q1,144390827.0,3,0.20859703738980562,-0.16506296143249044
ASE,2022Q2,160439020.0,3,0.2640324392224098,0.11114413106034782
ASE,2022Q3,188625557.0,3,0.2519549156055121,0.17568380185817634
ASE,2022Q4,177417239.0,3,0.025911598397341695,-0.059420993518921716
ASE,2023Q1,130891073.0,3,-0.09349454034223381,-0.2622415175787963
ASE,2023Q2,136275352.0,3,-0.15060967088928867,0.041135570796336784
ASE,2023Q3,154166845.0,3,-0.18268315570832216,0.13128928113133775
ASE,2023Q4,160581201.0,3,-0.09489516404885545,0.041606585384814654
ASE,2024Q1,132802855.0,3,0.014605900587276954,-0.17298628872504196
ASE,2024Q2,140238063.0,3,0.029078706764228412,0.05598680841612924
ASE,2024Q3,160105106.0,3,0.03851840517330429,0.1416665531097645
ASE,2024Q4,162263561.0,3,0.010476693345941479,0.01348148759228196
ASE,2025Q1,148153262.0,3,0.11558792919022709,-0.08695913557573165
ASE,2025Q2,150750323.0,3,0.07496010551714472,0.017529556655998535
ASE,2025Q3,168568888.0,3,0.05286391053636974,0.1181991828966098
ASE,2025Q4,177915237.0,3,0.0964583539492272,0.055445278846473656
ASE,2026Q1,173662152.0,3,0.17217906413697448,-0.02390511949237939
ASE,2026Q2,191063522.0,3,0.26741699916623074,0.10020243213385949
CHIPMOS,2021Q1,6465339.0,3,,
CHIPMOS,2021Q2,6982242.0,3,,0.07994986805796267
CHIPMOS,2021Q3,7161039.0,3,,0.025607390863851442
CHIPMOS,2021Q4,6791415.0,3,,-0.05161597360383041
CHIPMOS,2022Q1,6725222.0,3,0.04019634546618511,-0.009746569750191947
CHIPMOS,2022Q2,6851737.0,3,-0.018690987794464875,0.01881201839879787
CHIPMOS,2022Q3,5253906.0,3,-0.2663207112822594,-0.2332008657074841
CHIPMOS,2022Q4,4686199.0,3,-0.3099819404350934,-0.10805427428659742
CHIPMOS,2023Q1,4605134.0,3,-0.31524431461147306,-0.01729866785426737
CHIPMOS,2023Q2,5444124.0,3,-0.20543885441020282,0.18218579524504608
CHIPMOS,2023Q3,5581557.0,3,0.0623633159786261,0.025244281724663198
CHIPMOS,2023Q4,5725413.0,3,0.2217605355641108,0.025773453536351854
CHIPMOS,2024Q1,5418714.0,3,0.17666804049567286,-0.05356801334681005
CHIPMOS,2024Q2,5809559.0,3,0.06712466505171455,0.07212873755654936
CHIPMOS,2024Q3,6068049.0,3,0.08716062561038074,0.04449391081147458
CHIPMOS,2024Q4,5399587.0,3,-0.056908733046856175,-0.11016094299831791
CHIPMOS,2025Q1,5532332.0,3,0.020967705621665944,0.024584287650148084
CHIPMOS,2025Q2,5735838.0,3,-0.012689603462156085,0.036784849499270855
CHIPMOS,2025Q3,6143654.0,3,0.012459523645903303,0.07109963705390565
CHIPMOS,2025Q4,6521076.0,3,0.2076990332779156,0.06143282157491292
CHIPMOS,2026Q1,6935628.0,3,0.2536536129791198,0.06357110390984566
CHIPMOS,2026Q2,7383096.0,3,0.28718698122227293,0.06451730110092413
KYEC,2021Q1,7630889.0,3,,
KYEC,2021Q2,7597326.0,3,,-0.00439830798220231
KYEC,2021Q3,8997022.0,3,,0.1842353480685177
KYEC,2021Q4,9534151.0,3,,0.05970075431626154
KYEC,2022Q1,8983837.0,3,0.17729887041994719,-0.05772029413001745
KYEC,2022Q2,9928261.0,3,0.3068099223331999,0.10512479244670181
KYEC,2022Q3,9020335.0,3,0.0025911907295548264,-0.09144864342305259
KYEC,2022Q4,8849563.0,3,-0.07180377151568085,-0.01893189111047433
KYEC,2023Q1,7764452.0,3,-0.13573097998104822,-0.12261746709978782
KYEC,2023Q2,8167308.0,3,-0.17736771827412678,0.05188466616832721
KYEC,2023Q3,8593708.0,3,-0.04729613700599811,0.052208144960371294
KYEC,2023Q4,8499839.0,3,-0.039518787537870526,-0.010922991565456952
KYEC,2024Q1,8214718.0,3,0.057990699150435754,-0.033544282426996586
KYEC,2024Q2,6543206.0,3,-0.19885401652539614,-0.20347770915568864
KYEC,2024Q3,7038742.0,3,-0.18094238249658934,0.07573290524553244
KYEC,2024Q4,7296910.0,3,-0.14152373944965313,0.03667814504353184
KYEC,2025Q1,7315490.0,3,-0.10946547404305296,0.002546283289776019
KYEC,2025Q2,8361874.0,3,0.2779475382557113,0.14303676172067759
KYEC,2025Q3,9290530.0,3,0.31991341634627335,0.11105835844931411
KYEC,2025Q4,9965652.0,3,0.36573590739093675,0.07266775953578541
KYEC,2026Q1,10191943.0,3,0.393200318775639,0.022707094327596433
KYEC,2026Q2,11141616.0,3,0.33243050541062935,0.09317879819382813
OSAT_COMPOSITE,2021Q1,273.8510008213687,3,,
OSAT_COMPOSITE,2021Q2,293.4840323385869,3,,0.07169238548821211
OSAT_COMPOSITE,2021Q3,332.5515100638651,3,,0.13311619516051487
