quarter,guide_low_usdm,guide_high_usdm,guided_on,source_url,notes
2026Q1,1600,1700,2026-02-09,https://www.sec.gov/Archives/edgar/data/1047127/000104712726000007/amkr123125erex-991.htm,Guidance issued with 4Q25 results. Actual came in at ~1680 (upper half).
2026Q2,1750,1850,2026-04-27,https://www.sec.gov/Archives/edgar/data/0001047127/000104712726000017/amkr3312026erex-991.htm,Guidance issued with 1Q26 results. Reports 2026-07-27.
