quarter,predictor,lead_months,months_reported,matched_quarters_in_fit,predictor_qtd_yoy,implied_amkr_yoy,prior_year_revenue_usdm,bear_usdm,base_usdm,bull_usdm,guide_low_usdm,guide_mid_usdm,guide_high_usdm,delta_vs_guide_mid_usdm,delta_vs_guide_mid_pct,model_r2,resid_sd_pp,anchor
2026Q2,OSAT_COMPOSITE,2,3,16,0.2560610015792901,0.22936802520629332,1511.392,1750.0,1858.0569983525902,1933.3427604528172,1750.0,1800.0,1850.0,58.0569983525902,0.03225388797366113,0.7622805078785274,0.05918609467961516,guidance-anchored
2026Q2,KYEC,2,3,16,0.3699436303194559,0.19852068592074387,1511.392,1722.4776776960562,1811.434576535125,1900.3914753741935,1750.0,1800.0,1850.0,11.434576535124961,0.006352542519513893,0.668106795393244,0.06993369383821627,guidance-anchored
2026Q2,PTI,2,3,16,0.34051126574688184,0.19652376979815983,1511.392,1694.098334004944,1808.4164534827805,1922.734572960617,1750.0,1800.0,1850.0,8.416453482780526,0.004675807490433614,0.45188809486173387,0.08987148239268998,guidance-anchored
